--------- beginning of main
07-30 07:30:22.694 D/SKK     (12649): lifecycle: onCreate
07-30 07:30:22.756 D/SKK     (12649): dict dir: /data/user/0/jp.deadend.noname.skk/files
07-30 07:30:22.756 D/SKK     (12649): dict pref: ユーザー辞書/skk_userdict/SKK L+ 辞書/skk_dict_L+/
07-30 07:30:22.792 D/SKK     (12649): lifecycle: onInitializeInterface
07-30 07:30:22.792 D/SKK     (12649): lifecycle: onCreateInputView
07-30 07:30:22.792 D/SKK     (12649): lifecycle: onCreateCandidatesView
07-30 07:30:22.800 D/SKK     (12649): lifecycle: setCandidatesView
07-30 07:30:22.846 D/SKK     (12649): onCreateInputView: wasFlick=false wasGodan=false engineState=jp.deadend.noname.skk.engine.SKKHiraganaState@28f228b
07-30 07:30:22.846 D/SKK     (12649): setInputView(jp.deadend.noname.skk.FlickJPKeyboardView{5fa3f68 V.ED..... ......I. 0,0-0,0})
07-30 07:30:22.850 D/SKK     (12649): lifecycle: onBindInput
07-30 07:30:22.850 D/SKK     (12649): lifecycle: onStartInput
07-30 07:30:22.851 D/SKK     (12649): lifecycle: onUpdateEditorToolType
07-30 07:30:22.851 D/SKK     (12649): lifecycle: onEvaluateInputViewShown
07-30 07:30:22.851 D/SKK     (12649): lifecycle: onCreateCandidatesView
07-30 07:30:22.855 D/SKK     (12649): lifecycle: setCandidatesView
07-30 07:30:22.857 D/SKK     (12649): lifecycle: onEvaluateInputViewShown
07-30 07:30:22.857 D/SKK     (12649): lifecycle: onStartInputView
07-30 07:30:25.194 D/SKK     (12649): FlickJP: releaseShiftKey isShifted=false lastKey=-1
07-30 07:30:25.194 D/SKK     (12649): FlickJP: cleanupState lastKey=-1 shiftBefore=true
07-30 07:30:26.111 D/SKK     (12649): FlickJP: processYAKey isShifted=true flick=[DOWN]
07-30 07:30:26.111 D/SKK     (12649): FlickJP: processing y.vowel y=121 vowel=111
07-30 07:30:26.111 D/SKK     (12649): SKKEngine: processKey: code=121 char='y' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:30:26.116 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='y' kanjiKey=''
07-30 07:30:26.116 D/SKK     (12649): SKKEngine: processKey: code=111 char='o' state=SKKHiraganaState kanji=false choose=false compose='y' kanjiKey=''
07-30 07:30:26.116 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:30:26.116 D/SKK     (12649): FlickJP: cleanupState lastKey=-208 shiftBefore=true
07-30 07:32:13.960 D/SKK     (12649): FlickJP: cleanupState lastKey=-5 shiftBefore=false
07-30 07:32:14.151 D/SKK     (12649): FlickJP: cleanupState lastKey=-5 shiftBefore=false
07-30 07:32:14.554 D/SKK     (12649): FlickJP: releaseShiftKey isShifted=false lastKey=-1
07-30 07:32:14.554 D/SKK     (12649): FlickJP: cleanupState lastKey=-1 shiftBefore=true
07-30 07:32:15.012 D/SKK     (12649): SKKEngine: processKey: code=73 char='I' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:15.020 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='い'
07-30 07:32:15.020 D/SKK     (12649): FlickJP: cleanupState lastKey=-201 shiftBefore=true
07-30 07:32:15.327 D/SKK     (12649): SKKEngine: processKey: code=114 char='r' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='い'
07-30 07:32:15.328 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='r' kanjiKey='い'
07-30 07:32:15.328 D/SKK     (12649): SKKEngine: processKey: code=97 char='a' state=SKKKanjiState kanji=true choose=false compose='r' kanjiKey='い'
07-30 07:32:15.328 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='いら'
07-30 07:32:15.328 D/SKK     (12649): FlickJP: cleanupState lastKey=-209 shiftBefore=false
07-30 07:32:15.664 D/SKK     (12649): SKKEngine: processKey: code=115 char='s' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='いら'
07-30 07:32:15.665 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='s' kanjiKey='いら'
07-30 07:32:15.665 D/SKK     (12649): SKKEngine: processKey: code=117 char='u' state=SKKKanjiState kanji=true choose=false compose='s' kanjiKey='いら'
07-30 07:32:15.665 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='いらす'
07-30 07:32:15.665 D/SKK     (12649): FlickJP: cleanupState lastKey=-203 shiftBefore=false
07-30 07:32:16.024 D/SKK     (12649): SKKEngine: processKey: code=116 char='t' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='いらす'
07-30 07:32:16.025 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='t' kanjiKey='いらす'
07-30 07:32:16.025 D/SKK     (12649): SKKEngine: processKey: code=111 char='o' state=SKKKanjiState kanji=true choose=false compose='t' kanjiKey='いらす'
07-30 07:32:16.025 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='いらすと'
07-30 07:32:16.025 D/SKK     (12649): FlickJP: cleanupState lastKey=-204 shiftBefore=false
07-30 07:32:16.289 D/SKK     (12649): SKKEngine: processKey: code=115 char='s' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='いらすと'
07-30 07:32:16.289 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='s' kanjiKey='いらすと'
07-30 07:32:16.289 D/SKK     (12649): SKKEngine: processKey: code=105 char='i' state=SKKKanjiState kanji=true choose=false compose='s' kanjiKey='いらすと'
07-30 07:32:16.289 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='いらすとし'
07-30 07:32:16.289 D/SKK     (12649): FlickJP: cleanupState lastKey=-203 shiftBefore=false
07-30 07:32:16.551 D/SKK     (12649): FlickJP: processYAKey isShifted=false flick=[UP]
07-30 07:32:16.551 D/SKK     (12649): FlickJP: processing y.vowel y=121 vowel=117
07-30 07:32:16.551 D/SKK     (12649): SKKEngine: processKey: code=121 char='y' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='いらすとし'
07-30 07:32:16.551 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='y' kanjiKey='いらすとし'
07-30 07:32:16.551 D/SKK     (12649): SKKEngine: processKey: code=117 char='u' state=SKKKanjiState kanji=true choose=false compose='y' kanjiKey='いらすとし'
07-30 07:32:16.552 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='いらすとしゆ'
07-30 07:32:16.552 D/SKK     (12649): FlickJP: cleanupState lastKey=-208 shiftBefore=false
07-30 07:32:16.805 D/SKK     (12649): convertLastChar(str=ゆ, type=trans)
07-30 07:32:16.805 D/SKK     (12649): first= (last=ゆ), kana=ゆ
07-30 07:32:16.806 D/SKK     (12649): FlickJP: cleanupState lastKey=-1006 shiftBefore=false
07-30 07:32:17.200 D/SKK     (12649): SKKEngine: processKey: code=117 char='u' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='いらすとしゅ'
07-30 07:32:17.201 D/SKK     (12649): SKKEngine: ->after state=SKKKanjiState compose='' kanjiKey='いらすとしゅう'
07-30 07:32:17.201 D/SKK     (12649): FlickJP: cleanupState lastKey=-201 shiftBefore=false
07-30 07:32:17.475 D/SKK     (12649): SKKEngine: processKey: code=113 char='q' state=SKKKanjiState kanji=true choose=false compose='' kanjiKey='いらすとしゅう'
07-30 07:32:17.488 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:17.488 D/SKK     (12649): FlickJP: cleanupState lastKey=-1005 shiftBefore=false
07-30 07:32:17.883 D/SKK     (12649): SKKEngine: processKey: code=116 char='t' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:17.883 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='t' kanjiKey=''
07-30 07:32:17.883 D/SKK     (12649): SKKEngine: processKey: code=111 char='o' state=SKKHiraganaState kanji=false choose=false compose='t' kanjiKey=''
07-30 07:32:17.883 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:17.883 D/SKK     (12649): FlickJP: cleanupState lastKey=-204 shiftBefore=false
07-30 07:32:18.184 D/SKK     (12649): SKKEngine: processKey: code=115 char='s' state=SKKHiraganaState kanji=false choose=false compose='' kanjiKey=''
07-30 07:32:18.184 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='s' kanjiKey=''
07-30 07:32:18.184 D/SKK     (12649): SKKEngine: processKey: code=105 char='i' state=SKKHiraganaState kanji=false choose=false compose='s' kanjiKey=''
07-30 07:32:18.185 D/SKK     (12649): SKKEngine: ->after state=SKKHiraganaState compose='' kanjiKey=''
07-30 07:32:18.185 D/SKK     (12649): FlickJP: cleanupState lastKey=-203 shiftBefore=false
